Location	Longitude	Latitude
Aomori		140.747		40.802
Hirosaki	140.464		40.606
Hachinohe	141.506		40.514
Iwate		141.144		39.690
Akita		140.102		39.712
Miyagi		140.873		38.265
Yamagata	139.906		38.845
Fukushima	140.362		37.393
Aizutakada	139.886		37.478
Niigata		139.049		37.898
Sado		138.369		38.004
Ibaraki		140.460		36.362
Tochigi		139.883		36.555
Chiba		140.468		35.736
Tokyo		139.704		35.694
Saitama		139.378		36.225
Gunma		139.003		36.322
Kanagawa	139.373		35.571
Yamanashi	138.552		35.640
Shizuoka	138.382		34.976
Akiyama		138.577		36.988
Nagano		138.204		36.644
Hachijo		139.804		33.103
Toyama		137.214		36.696
Nanao		136.967		37.043
Ishikawa	136.611		36.547
Fukui		136.219		36.064
Gifu		136.761		35.423
Aichi		136.906		35.181
Shiga		136.282		35.397
Mie		136.445		34.782
Nara		135.805		34.685
Kyoto		135.763		35.012
Osaka		135.502		34.694
Wakayama	135.254		34.065
Hyogo		134.841		34.757
Okayama		133.919		34.655
Hiroshima	132.456		34.385
Yamaguchi	131.508		34.154
Tottori		134.236		35.500
Shimane		132.755		35.367
Tokushima	134.555		34.070
Kagawa		134.047		34.310
Kochi		133.529		33.560
Ehime		132.766		33.839
Oita		131.657		33.148
Fukuoka		130.403		33.590
Saga		130.881		33.851
Nagasaki	129.873		32.755
Nakadori	129.081		32.943
Fukue		128.839		32.693
Miyazaki	131.421		31.911
Kumamoto	130.617		32.537
Kagoshima	130.528		31.586
Kamikoshiki	129.917		31.838
Shimokoshiki	129.709		31.680
Tanegashima	130.999		30.616
Yakushima	130.513		30.328
Kikai		129.938		28.314
Naze		129.496		28.377
Sumiyo		129.410		28.259
Koniya		129.313		28.148
Kakeroma	129.233		28.116
Tokunoshima	128.961		27.757
Okinoerabu	128.653		27.394
Yoron		128.419		27.045
Iheya		127.980		27.051
Izena		127.938		26.933
Nakijin		127.978		26.683
Motobu		127.898		26.658
Nago		127.978		26.595
Kin		127.926		26.456
Kudaka		127.892		26.160
Shuri		127.711		26.218
Itoman		127.672		26.122
Zamami		127.305		26.232
Kume		126.780		26.345
Hirara		125.283		24.802
Ikema		125.243		24.927
Irabu		125.164		24.831
Tarama		124.703		24.666
Ishigaki	124.162		24.338
Taketomi	124.087		24.327
Kohama		123.980		24.339
Kuroshima	124.013		24.237
Aragusuku	123.943		24.233
Hateruma	123.779		24.059
Hatoma		123.822		24.470
Iriomote	123.766		24.384
Yonaguni	122.993		24.457
